# African / African-American (AFR) demographic history, as compiled into the simulators.
# Generated by: src/simulations/bin/single_site_simulator --dump-demography afr
# Do not edit by hand -- regenerate with 'make models' from the repo root.
#
# Ancient portion : Schiffels & Durbin (2014), MSMC
# Recent portion  : Kar et al. (2026), from generation 1200 to the present
#
# Tabulated in generations before the present. Epoch i has size Ne and spans
# gen_hi >= gen >= gen_lo, i.e. the closed interval [gen_lo, gen_hi].
# Epoch 0 is ancestral: it applies to every generation older than T[0].
# The simulations themselves run forward in time, from the oldest epoch to
# the present.
#
# population=afr epochs=50 taujump=68000
# taujump > T[0]? 68000 > 67220 -> OK
epoch	gen_hi	gen_lo	Ne
0(anc)	inf	67221	18543
1	67220	60706	13957
2	60705	55384	13957
3	55383	50884	13579
4	50883	46985	13579
5	46984	43547	13998
6	43546	40471	13998
7	40470	37689	14790
8	37688	35149	14790
9	35148	32812	15927
10	32811	30649	15927
11	30648	28634	17473
12	28633	26750	17473
13	26749	24981	19524
14	24980	23312	19524
15	23311	21734	22146
16	21733	20236	22146
17	20235	18812	25269
18	18811	17454	25269
19	17453	16156	28538
20	16155	14914	28538
21	14913	13722	31332
22	13721	12577	31332
23	12576	11475	33012
24	11474	10413	33012
25	10412	9389	33256
26	9388	8399	32900
27	8398	7442	32311
28	7441	6515	31233
29	6514	5617	28721
30	5616	5275	28248
31	5274	4918	24560
32	4917	4579	24560
33	4578	4257	20871
34	4256	3950	20871
35	3949	3656	17828
36	3655	3375	17828
37	3374	3105	15152
38	3104	2846	15152
39	2845	2597	13476
40	2596	2357	13476
41	2356	2125	12864
42	2124	1901	12639
43	1900	1685	12501
44	1684	1475	13031
45	1474	1272	13547
46	1271	1201	13981
47	1200	293	58563
48	292	128	271461
49	127	1	2763103
