# non-Finnish European (NFE) demographic history, as compiled into the simulators.
# Generated by: src/simulations/bin/single_site_simulator --dump-demography eur
# Do not edit by hand -- regenerate with 'make models' from the repo root.
#
# Ancient portion : Schiffels & Durbin (2014), MSMC
# Recent portion  : Schraiber et al. (2025), from generation 517 to the present
#
# Tabulated in generations before the present. Epoch i has size Ne and spans
# gen_hi >= gen >= gen_lo, i.e. the closed interval [gen_lo, gen_hi].
# Epoch 0 is ancestral: it applies to every generation older than T[0].
# The simulations themselves run forward in time, from the oldest epoch to
# the present.
#
# population=eur epochs=63 taujump=56000
# taujump > T[0]? 56000 > 55940 -> OK
epoch	gen_hi	gen_lo	Ne
0(anc)	inf	55941	14448
1	55940	51396	14068
2	51395	47458	14068
3	47457	43985	14464
4	43984	40878	14464
5	40877	38068	15208
6	38067	35502	15208
7	35501	33142	16256
8	33141	30957	16256
9	30956	28923	17618
10	28922	27019	17618
11	27018	25232	19347
12	25231	23546	19347
13	23545	21952	21534
14	21951	20440	21534
15	20439	19001	24236
16	19000	17629	24236
17	17628	16319	27367
18	16318	15064	27367
19	15063	13860	30416
20	13859	12703	30416
21	12702	11591	32060
22	11590	10518	32060
23	10517	9483	31284
24	9482	8484	29404
25	8483	7517	26686
26	7516	6581	23261
27	6580	5673	18990
28	5672	5521	16490
29	5520	5157	16490
30	5156	4818	12958
31	4817	4501	12958
32	4500	4204	9827
33	4203	3923	9827
34	3922	3657	7477
35	3656	3405	7477
36	3404	3166	5791
37	3165	2937	5791
38	2936	2719	4670
39	2718	2510	4670
40	2509	2309	3841
41	2308	2117	3841
42	2116	1931	3372
43	1930	1753	3372
44	1752	1580	3287
45	1579	1414	3359
46	1413	1253	3570
47	1252	1097	4095
48	1096	946	4713
49	945	799	5661
50	798	657	7540
51	656	518	11375
52	517	449	15887
53	448	284	79693
54	283	180	290702
55	179	114	721018
56	113	72	1368726
57	71	46	2166404
58	45	29	4110830
59	28	19	5096386
60	18	12	23368593
61	11	8	31498556
62	7	1	31498556
