# South Asian (SAS) demographic history, as compiled into the simulators.
# Generated by: src/simulations/bin/single_site_simulator --dump-demography sas
# Do not edit by hand -- regenerate with 'make models' from the repo root.
#
# Ancient portion : Schiffels & Durbin (2014), MSMC
# Recent portion  : Kar et al. (2026), from generation 1054 to the present
#
# Tabulated in generations before the present. Epoch i has size Ne and spans
# gen_hi >= gen >= gen_lo, i.e. the closed interval [gen_lo, gen_hi].
# Epoch 0 is ancestral: it applies to every generation older than T[0].
# The simulations themselves run forward in time, from the oldest epoch to
# the present.
#
# population=sas epochs=54 taujump=72000
# taujump > T[0]? 72000 > 71728 -> OK
epoch	gen_hi	gen_lo	Ne
0(anc)	inf	71729	19663
1	71728	64778	14648
2	64777	59099	14648
3	59098	54297	14142
4	54296	50137	14142
5	50136	46468	14461
6	46467	43186	14461
7	43185	40217	15121
8	40216	37506	15121
9	37505	35013	16063
10	35012	32704	16063
11	32703	30555	17324
12	30554	28545	17324
13	28544	26656	18986
14	26655	24876	18986
15	24875	23191	21161
16	23190	21593	21161
17	21592	20074	23901
18	20073	18624	23901
19	18623	17240	27019
20	17239	15914	27019
21	15913	14642	29934
22	14641	13420	29934
23	13419	12245	31627
24	12244	11112	31627
25	11111	10019	31291
26	10018	8963	29878
27	8962	7941	27598
28	7940	6952	24499
29	6951	5994	20346
30	5993	5740	18325
31	5739	5362	18325
32	5361	5009	14256
33	5008	4680	14256
34	4679	4370	10706
35	4369	4078	10706
36	4077	3802	8148
37	3801	3540	8148
38	3539	3291	6399
39	3290	3054	6399
40	3053	2827	5340
41	2826	2609	5340
42	2608	2401	4510
43	2400	2201	4510
44	2200	2008	3973
45	2007	1822	3973
46	1821	1643	3758
47	1642	1470	3691
48	1469	1303	3683
49	1302	1140	3971
50	1139	1055	4360
51	1054	275	49350
52	274	88	337083
53	87	1	4837454
